filename ,subjectNo ,verification ,age,Gender,Ethnicity,device,experimentDuration ,videoOrder,treatmentLabel ,videoLabel ,targetLabel ,face0 ,face1 ,face2 ,face3 ,face4 ,face5 ,videoCheck ,PreIDconfidence ,faceSelected ,confidence ,attentionCheckSelected ,correct,SaidAbsentOrPresent,videoCheck,attentionCheck,completedTwice,include
ucsd_1,62,pw5efwsfyor8jjor,21,Female,Caucasian,Laptop/Computer,738393,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,,20,yes,80,two,1,Present,, ,,yes
ucsd_1,63,1lxfzvuabk5j,20,Female,Asian,Phone,1001327,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,No,90,no,80,two,1,Absent,, ,,yes
ucsd_1,63,1lxfzvuabk5j,20,Female,Asian,Phone,1001327,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,No,90,yes,80,one,1,Present,, ,,yes
ucsd_1,68,c1qusc4am2u4,Decline,Female,Asian,Laptop/Computer,732833,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,None,80,yes,80,one,1,Present,, ,,yes
ucsd_1,68,c1qusc4am2u4,Decline,Female,Asian,Laptop/Computer,732833,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,No,70,no,60,two,1,Absent,, ,,yes
ucsd_1,69,qfltp8rgv4nghkt9,18,Male,Asian,Laptop/Computer,799399,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,,100,no,50,two,0,Absent,, ,,yes
ucsd_1,69,qfltp8rgv4nghkt9,18,Male,Asian,Laptop/Computer,799399,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,50,no,50,one,1,Absent,, ,,yes
ucsd_1,70,ak9qku2qenu,20,Female,Asian,Phone,824363,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,50,yes,50,one,0,Present,, ,,yes
ucsd_1,70,ak9qku2qenu,20,Female,Asian,Phone,824363,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,,70,yes,70,two,1,Present,, ,,yes
ucsd_1,71,56x6uw0qgzht1emi,22,Female,Other,Laptop/Computer,11303409,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,80,no,90,two,1,Absent,, ,,yes
ucsd_1,71,56x6uw0qgzht1emi,22,Female,Other,Laptop/Computer,11303409,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,80,no,50,one,0,Absent,, ,,yes
ucsd_1,77,107rxcdzn46s,18,Female,Latino,Laptop/Computer,1014534,1,showup,mugging,present,mugging_showup_perpetrator,,,,,, I did not encounter technical problems.,80,yes,70,two,1,Present,, ,,yes
ucsd_1,77,107rxcdzn46s,18,Female,Latino,Laptop/Computer,1014534,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,70,no,80,one,1,Absent,, ,,yes
ucsd_1,78,n5pgjldqg05n,24,Female,Caucasian,Laptop/Computer,801620,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,No technical issue occurred.,90,no,90,one,1,Absent,, ,,yes
ucsd_1,78,n5pgjldqg05n,24,Female,Caucasian,Laptop/Computer,801620,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,No technical issue occurred.,90,yes,60,two,1,Present,, ,,yes
