subNum,lineupType,suspectPosition,suspectID,suspectRT,suspectConf,fill1ID,fill1RT,fill1Conf,fill2ID,fill2RT,fill2Conf,fill3ID,fill3RT,fill3Conf,fill4ID,fill4RT,fill4Conf,fill5ID,fill5RT,fill5Conf,fill6ID,fill6RT,fill6Conf
2982,Target Present,3,Yes,5.195,100,No,6.778,-100,No,6.164,-100,,,,No,6.335,-100,No,6.106,-100,No,3.806,-100
2983,Target Present,5,Yes,4.271,95,No,6.562,-45,No,6.397,-67,Yes,6.297,75,No,4.091,-31,,,,No,4.149,-100
2984,Target Absent,,,,,Yes,5.764,21,Yes,5.996,0,No,4.97,-95,No,4.507,-95,No,5.45,-90,No,6.144,-86
2985,Target Present,1,Yes,4.305,70,,,,No,2.727,-95,No,4.327,-85,No,3.487,-70,No,3.968,-95,No,2.882,-100
2986,Target Present,6,No,3.424,51,No,5.195,-71,Yes,6.751,86,No,3.178,-93,No,4.208,-94,No,5.045,-62,,,
2987,Target Absent,,,,,,,,,,,,,,,,,,,,,,
2988,Target Absent,,,,,Yes,5.625,100,No,3.3,-100,No,3.817,-79,No,4.626,-100,No,4.809,-98,No,3.604,-100
2989,Target Present,1,Yes,8.828,71,,,,No,7.105,-100,No,6.371,-100,No,6.142,-100,No,5.75,-100,No,6.009,-100
2990,Target Present,2,Yes,5.325,100,No,8.459,-100,,,,No,4.333,-100,No,7.192,-97,No,6.551,-93,No,4.651,-100
2991,Target Present,6,Yes,7.218,95,No,10.629,-45,No,8.638,-90,No,3.704,-100,Yes,11.106,60,No,5.397,-80,,,
2992,Target Absent,,,,,No,19.982,-29,No,6.587,-95,No,3.352,-34,No,4.88,-72,No,3.669,-83,No,3.077,-97
2993,Target Present,3,Yes,4.44,89,No,13.283,-53,No,7.618,-77,,,,No,3.889,-88,No,4.467,-98,No,5.557,-96
2994,Target Absent,,,,,No,11.301,-82,No,5.994,-90,No,7.783,-72,No,6.232,-91,No,4.192,-83,No,5.633,-82
2995,Target Absent,,,,,No,5.591,-80,No,4.508,-81,No,5.636,-52,No,12.341,-20,No,3.9,-85,No,4.542,-79
2996,Target Absent,,,,,Yes,4.325,100,Yes,6.693,100,No,3.438,-100,No,4.011,-100,No,3.805,-100,No,2.131,-100
2997,Target Absent,,,,,No,7.659,-71,No,6.642,-72,Yes,7.58,60,No,8.503,-100,No,7.08,-61,No,9.426,-62
2998,Target Absent,,,,,No,8.544,-61,Yes,6.961,43,Yes,9.873,40,No,3.849,-80,Yes,6.22,61,No,4.782,-72
2999,Target Present,2,No,4.111,77,No,3.55,-81,,,,No,3.209,-95,No,7.773,-57,Yes,3.997,44,No,2.867,-86
3000,Target Absent,,,,,Yes,9.491,40,No,7.819,-82,No,6.689,-71,No,5.869,-91,No,7.265,-81,No,7.329,-81
3001,Target Present,5,Yes,4.134,100,No,3.587,-100,No,6.205,-30,Yes,3.994,70,No,2.776,-87,,,,No,3.285,-100
3002,Target Absent,,,,,No,5.571,-68,No,7.587,-76,No,4.138,-100,Yes,3.901,64,No,3.044,-68,No,11.725,-53
