subNum,condition,lineupType,suspectPosition,suspectID,suspectConf,fill1ID,fill1Conf,fill2ID,fill2Conf,fill3ID,fill3Conf,fill4ID,fill4Conf,fill5ID,fill5Conf,fill6ID,fill6Conf
2978,Target Absent,Showup,,,NaN,No,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2979,Target Present,Showup,,Yes,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2980,Target Absent,Showup,,,NaN,No,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2981,Target Absent,Showup,,,NaN,No,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2982,Target Absent,Showup,,,NaN,Yes,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2983,Target Present,Showup,,Yes,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2984,Target Present,Showup,,Yes,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2985,Target Absent,Showup,,,NaN,No,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2986,Target Present,Showup,,Yes,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2987,Target Absent,Lineup,,,NaN,No,100,No,90,Yes,94,No,93,No,100,No,100
2988,Target Present,Showup,,Yes,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2989,Target Present,Showup,,Yes,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2990,Target Absent,Showup,,,NaN,Yes,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2991,Target Absent,Lineup,,,NaN,Yes,50,No,60,No,30,No,60,Yes,60,No,30
2992,Target Absent,Lineup,,,NaN,Yes,60,No,85,No,75,No,90,No,85,Yes,90
2993,Target Present,Showup,,Yes,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2994,Target Present,Lineup,pos 5,Yes,72,No,15,No,97,Yes,36,Yes,65,NaN,NaN,No,66
2995,Target Present,Showup,,Yes,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2996,Target Absent,Lineup,,,NaN,No,86,No,62,No,63,No,33,No,100,Yes,79
2997,Target Present,Showup,,No,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2998,Target Present,Showup,,Yes,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2999,Target Present,Showup,,Yes,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3000,Target Present,Showup,,Yes,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,Target Present,Lineup,pos 6,No,56,Yes,45,No,80,No,90,No,99,No,51,NaN,NaN
3002,Target Present,Showup,,Yes,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3003,Target Present,Lineup,pos 6,Yes,98,No,80,No,100,No,100,No,82,No,83,NaN,NaN
3004,Target Absent,Showup,,,NaN,No,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3005,Target Present,Lineup,pos 1,No,90,NaN,NaN,No,100,No,73,No,100,No,91,Yes,100
3006,Target Absent,Lineup,,,NaN,No,86,No,80,No,95,No,88,No,100,No,88
3007,Target Absent,Lineup,,,NaN,Yes,95,No,86,No,89,Yes,79,No,85,No,99
3008,Target Absent,Lineup,,,NaN,Yes,52,No,100,No,100,No,100,No,100,No,100
3009,Target Absent,Showup,,,NaN,No,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3010,Target Present,Lineup,pos 4,Yes,61,No,55,No,58,No,59,NaN,NaN,No,63,No,58
3011,Target Absent,Showup,,,NaN,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3012,Target Present,Showup,,No,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3013,Target Absent,Showup,,,NaN,No,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3014,Target Present,Lineup,pos 5,No,60,No,90,No,95,No,80,Yes,60,NaN,NaN,No,70
