ParticipantId,Experiment,LineupType,time_allfaces,above_median,,,,,
0bf61eae-d9f9-45b5-9dda-19ea97ffd6df,Exp2,independent_simultaneous,54684,FALSE,,,,,
0bf71703-9a4b-446f-9696-7a1b3014d293,Exp2,independent_simultaneous,177300,TRUE,,,,,
0c376ed4-b19c-415a-8c98-107f287b3cc9,Exp2,independent_simultaneous,114991,TRUE,,,,,
0c9adf10-d2b8-4455-a6df-3bea4a6a6999,Exp2,independent_simultaneous,64244,TRUE,,,,,
0ca7f978-902a-4322-bd2f-7a451cf63d9a,Exp2,independent_simultaneous,355416,TRUE,,,,,
0ce23e8e-376c-49c8-a444-6798d5c078d1,Exp2,independent_simultaneous,39135,FALSE,,,,,
0ce6859b-76e7-4a93-a1df-b5634d63767d,Exp2,independent_simultaneous,48406,FALSE,,,,,
0cf0a31c-0029-461f-b344-27f11176c7e6,Exp2,independent_simultaneous,76733,TRUE,,,,,
0d13f88b-6df6-45a5-a523-856dc9da184b,Exp2,independent_simultaneous,58053,FALSE,,,,,
0d76ad2e-9c33-470f-a896-019cc2d9a075,Exp2,independent_simultaneous,31271,FALSE,,,,,
0d7e8eec-94e9-4956-853e-bc3516e057ec,Exp2,independent_simultaneous,112205,TRUE,,,,,
0d87f06c-6ae3-4f5d-b410-21be028defef,Exp2,independent_simultaneous,106055,TRUE,,,,,
0db02761-2484-4a3d-86f6-8806d28e1c4c,Exp2,independent_simultaneous,86758,TRUE,,,,,
0db4596e-8b99-4010-8d04-e7494013ffca,Exp2,independent_simultaneous,124912,TRUE,,,,,
0dc432cc-e29c-491a-acea-b7bc00e1d6bb,Exp2,independent_simultaneous,88594,TRUE,,,,,
0dc696e8-2159-4455-bff6-5700cec94a21,Exp2,independent_simultaneous,291825,TRUE,,,,,
0e139bf4-ff97-46e7-a204-b4d7372ca427,Exp2,independent_simultaneous,101103,TRUE,,,,,
0e86e3ce-a8ba-4517-a21c-8634fa685453,Exp2,independent_simultaneous,101737,TRUE,,,,,
0eb4af59-f590-436a-b33f-bef356d987b4,Exp2,independent_simultaneous,79606,TRUE,,,,,
0ef569e6-9178-4e12-945e-57643cd7a184,Exp2,independent_simultaneous,45455,FALSE,,,,,
0f230517-f32f-4253-8024-86cc36ea59c9,Exp2,independent_simultaneous,77204,TRUE,,,,,
0f296357-3460-4d6f-8472-8795f2a7bd1b,Exp2,independent_simultaneous,77083,TRUE,,,,,
0f41fcc6-27c9-41d7-9aba-a713dcbe3862,Exp2,independent_simultaneous,131600,TRUE,,,,,
0f5baba5-1a9f-49dc-938d-30575594399c,Exp2,independent_simultaneous,37871,FALSE,,,,,
0f6d8595-bbf3-43bd-b4bd-1627ca26d256,Exp2,independent_simultaneous,48998,FALSE,,,,,
0f770b8f-d1d8-4b83-8d9e-7980f78c1373,Exp2,independent_simultaneous,110149,TRUE,,,,,
0f8b02e5-d830-4712-90e3-79fc772e5afb,Exp2,independent_simultaneous,67563,TRUE,,,,,
0f948666-cda4-4059-817e-061368b7666d,Exp2,independent_simultaneous,96282,TRUE,,,,,
0fa2293d-2f27-4cfd-9288-8d25b3578c5a,Exp2,independent_simultaneous,140101,TRUE,,,,,
0fa2f684-4492-4a9d-9e39-695d2c04f52b,Exp2,independent_simultaneous,346717,TRUE,,,,,
0fa3aa63-9b0a-4adf-b319-735b612f1f3e,Exp2,independent_simultaneous,108503,TRUE,,,,,
0fb29df7-e8f9-49f1-971d-05286faaaa19,Exp2,independent_simultaneous,76276,TRUE,,,,,
0fd0d972-4a8c-42f0-b112-ff0b01b0c747,Exp2,independent_simultaneous,79131,TRUE,,,,,
0fe753d2-7b50-4fcf-9831-59e7642d48fe,Exp2,independent_simultaneous,78416,TRUE,,,,,
1001768d-b590-4439-a38d-6539d94ffd4b,Exp2,independent_simultaneous,40913,FALSE,,,,,
100b7c9a-75e2-4c09-9fd1-4c44f1863e42,Exp2,independent_simultaneous,28618,FALSE,,,,,
1028e9a5-3a37-4146-8ce6-b41afa4b99c1,Exp2,independent_simultaneous,41954,FALSE,,,,,
102d1430-146e-4da2-827c-2733a362dd06,Exp2,independent_simultaneous,98182,TRUE,,,,,
103f9397-28d5-44e1-81dc-f29ff99c1371,Exp2,independent_simultaneous,275969,TRUE,,,,,
10830e7d-683e-4d42-83e2-b0fa860c7b24,Exp2,independent_simultaneous,104739,TRUE,,,,,
10cb333c-947f-436d-be2b-9d3da957fff9,Exp2,independent_simultaneous,39280,FALSE,,,,,
10dfe148-2594-4def-bdee-fdb0af97f6b9,Exp2,independent_simultaneous,64692,TRUE,,,,,
10f0bb73-9f75-462b-b0de-d72e5a85d0c0,Exp2,independent_simultaneous,126844,TRUE,,,,,
10f8df61-574e-4ceb-9998-15cd759abafa,Exp2,independent_simultaneous,145073,TRUE,,,,,
11238049-caec-4078-970b-c7a579809fdb,Exp2,independent_simultaneous,47525,FALSE,,,,,
11385263-cbd9-47f4-9480-8b47ad0709a0,Exp2,independent_simultaneous,29532,FALSE,,,,,
11537881-e49a-41b6-ae9e-7922dfa33550,Exp2,independent_simultaneous,100465,TRUE,,,,,
11540e7d-be7c-41d2-9ce5-1867dad4260f,Exp2,independent_simultaneous,116605,TRUE,,,,,
115b364e-55e5-449f-8c3a-ca8f4a58d353,Exp2,independent_simultaneous,67540,TRUE,,,,,
116e2812-a3a8-4b2e-a572-5d74350e9917,Exp2,independent_simultaneous,56436,FALSE,,,,,
1175ecb4-d897-491c-b4ef-c5498b95fc9a,Exp2,independent_simultaneous,65618,TRUE,,,,,
117d3009-31b1-4849-ae59-8faf38f1db20,Exp2,independent_simultaneous,74800,TRUE,,,,,
118fcf1c-27d8-4834-b734-d765f147aa11,Exp2,independent_simultaneous,33592,FALSE,,,,,
11903802-5d02-4ae2-af4e-f73ad6aed6b2,Exp2,independent_simultaneous,98036,TRUE,,,,,
11b94034-0d6b-4bf7-b122-1379ec4741cd,Exp2,independent_simultaneous,44006,FALSE,,,,,
11dc3b65-fba4-4fb8-9fe4-ce530bea4d36,Exp2,independent_simultaneous,26814,FALSE,,,,,
11eee239-c6c8-4013-96f8-0d98dd5dede7,Exp2,independent_simultaneous,41065,FALSE,,,,,
11f2f8ce-07a8-4df9-a763-81278632987e,Exp2,independent_simultaneous,32953,FALSE,,,,,
11f584a4-3010-4159-b152-ae5af82736db,Exp2,independent_simultaneous,115690,TRUE,,,,,
11fe7d5c-d642-4d90-b1a4-30c9626affd8,Exp2,independent_simultaneous,133937,TRUE,,,,,
120336c4-fce1-4e29-a57b-e231e639a404,Exp2,independent_simultaneous,49996,FALSE,,,,,
121c422e-fa51-47a1-9121-f4f42380c34a,Exp2,independent_simultaneous,52222,FALSE,,,,,
12238cb3-d02b-45d5-8805-d0db8e4726cb,Exp2,independent_simultaneous,52777,FALSE,,,,,
12299046-1e43-4686-a438-789b2fcec214,Exp2,independent_simultaneous,138415,TRUE,,,,,
122d48f4-9d8c-47d2-abb8-8edb564dea6a,Exp2,independent_simultaneous,83628,TRUE,,,,,
12387023-f4c9-4897-b8cb-1c1d17a5e9a7,Exp2,independent_simultaneous,112135,TRUE,,,,,
1266cfcd-b488-4599-babe-9af5601a1b4e,Exp2,independent_simultaneous,46654,FALSE,,,,,
12699729-7054-41fa-a493-b95014eb59ac,Exp2,independent_simultaneous,53590,FALSE,,,,,
12734cef-f2ca-451e-923b-ee8b05fa9943,Exp2,independent_simultaneous,73823,TRUE,,,,,
12bfdb6d-3b5b-4122-bb70-c4d884f65d41,Exp2,independent_simultaneous,40987,FALSE,,,,,
12c5ea68-daef-4593-a11f-9ef3d8b4ed6d,Exp2,independent_simultaneous,48195,FALSE,,,,,
12c76e04-2a9e-48c5-8dcb-a8fab2948534,Exp2,independent_simultaneous,31799,FALSE,,,,,
12ce991b-7182-4fbc-b92e-0a7ee12303ad,Exp2,independent_simultaneous,33391,FALSE,,,,,
1338725c-cba3-4ed2-9d0f-4028b44e273a,Exp2,independent_simultaneous,32556,FALSE,,,,,
1355e762-6384-4bec-b27c-ef0aaa70cff7,Exp2,independent_simultaneous,30222,FALSE,,,,,
13582201-cf7c-4ec9-be0c-f9f1848b759b,Exp2,independent_simultaneous,26362,FALSE,,,,,
13742713-a799-4a95-a868-049c732b134e,Exp2,independent_simultaneous,69555,TRUE,,,,,
1396d68c-df03-4cd5-8707-007b31d8b5e5,Exp2,independent_simultaneous,22956,FALSE,,,,,
13a75c86-7f06-413a-b481-d5cfa373c97f,Exp2,independent_simultaneous,25770,FALSE,,,,,
13b5708e-dd3d-4b17-bebd-443af2ef3adf,Exp2,independent_simultaneous,25662,FALSE,,,,,
13b8ada4-4053-41e5-b97b-da9ca1be953f,Exp2,independent_simultaneous,31453,FALSE,,,,,
13d078bd-9def-4d56-83a8-51bd90b5b9d3,Exp2,independent_simultaneous,131193,TRUE,,,,,
13d11c35-78ac-4a39-8006-ca15db3ab448,Exp2,independent_simultaneous,71862,TRUE,,,,,
13d49446-d32a-4202-909d-e8b9e8bba6ab,Exp2,independent_simultaneous,73665,TRUE,,,,,
14491416-96d5-4f03-981a-7e4746d29768,Exp2,independent_simultaneous,46214,FALSE,,,,,
145146a2-29e1-42ec-b5e8-f9e6d961cf9f,Exp2,independent_simultaneous,133202,TRUE,,,,,
14aa24ee-635c-4954-8a8f-a86446ac1263,Exp2,independent_simultaneous,27839,FALSE,,,,,
14f1916a-5c86-4d2b-8814-1d86af0e35e8,Exp2,independent_simultaneous,539151,TRUE,,,,,
151a22e1-4c31-4d0e-b69d-947b89061b4d,Exp2,independent_simultaneous,128210,TRUE,,,,,
15459ad6-db96-4a97-94a9-fda9bf6b87e0,Exp2,independent_simultaneous,64485,TRUE,,,,,
1549e13e-cf1c-4d80-b302-39c44cc7d57f,Exp2,independent_simultaneous,73934,TRUE,,,,,
155f1436-6eff-41a2-9cee-6550f5efadd3,Exp2,independent_simultaneous,88350,TRUE,,,,,
15634afc-d632-4b7e-a4f5-87ac3edc0635,Exp2,independent_simultaneous,59174,FALSE,,,,,
15921f3b-0547-4ad2-9d41-51a2ef3a30a1,Exp2,independent_simultaneous,36442,FALSE,,,,,
159b90d0-0793-4795-b48a-41fa5649a020,Exp2,independent_simultaneous,61657,FALSE,,,,,
15d93507-fb0c-4306-9591-83999bd09151,Exp2,independent_simultaneous,26466,FALSE,,,,,
16140d1e-296c-4e1d-9877-43ce6e0f5cbc,Exp2,independent_simultaneous,274983,TRUE,,,,,
16142d4b-b106-4368-afc5-0f7a5ee1c8bb,Exp2,independent_simultaneous,103769,TRUE,,,,,
16256b67-015f-4dc9-b6a0-85b0fe6cdf00,Exp2,independent_simultaneous,24019,FALSE,,,,,
165fc073-edfd-4e73-9496-f7bae83ced07,Exp2,independent_simultaneous,46800,FALSE,,,,,
16a2a641-6725-43e2-897f-b5c5aba7ad78,Exp2,independent_simultaneous,108435,TRUE,,,,,
16ddbd03-b1ac-43fc-9ce7-620cc5421a89,Exp2,independent_simultaneous,91095,TRUE,,,,,
16f4819d-9427-4caf-8ee4-289b9081a765,Exp2,independent_simultaneous,63672,TRUE,,,,,
1706d36d-bd76-4321-8510-e84e26223ef9,Exp2,independent_simultaneous,91706,TRUE,,,,,
