ParticipantId,ExperimentId,TrialNumber,time_allfaces_trial,above_median_trial
f871bf1b-4a45-4dc3-a9bc-b9e69f875088,222,3,25027,FALSE
f871bf1b-4a45-4dc3-a9bc-b9e69f875088,222,4,25832,TRUE
f871bf1b-4a45-4dc3-a9bc-b9e69f875088,222,5,24127,FALSE
f871bf1b-4a45-4dc3-a9bc-b9e69f875088,222,6,26228,TRUE
f871bf1b-4a45-4dc3-a9bc-b9e69f875088,222,7,24182,FALSE
f871bf1b-4a45-4dc3-a9bc-b9e69f875088,222,8,22956,FALSE
90f046b4-26a3-485d-b3b7-ba9df66b28cd,224,1,40019,TRUE
90f046b4-26a3-485d-b3b7-ba9df66b28cd,224,2,27042,TRUE
90f046b4-26a3-485d-b3b7-ba9df66b28cd,224,3,29244,TRUE
90f046b4-26a3-485d-b3b7-ba9df66b28cd,224,4,19638,FALSE
90f046b4-26a3-485d-b3b7-ba9df66b28cd,224,5,35433,TRUE
90f046b4-26a3-485d-b3b7-ba9df66b28cd,224,6,30396,TRUE
90f046b4-26a3-485d-b3b7-ba9df66b28cd,224,7,24208,FALSE
90f046b4-26a3-485d-b3b7-ba9df66b28cd,224,8,27331,TRUE
57bed392-a31f-45f3-8cab-fdcfb5b9413a,226,1,30066,TRUE
57bed392-a31f-45f3-8cab-fdcfb5b9413a,226,2,23192,FALSE
57bed392-a31f-45f3-8cab-fdcfb5b9413a,226,3,28264,TRUE
57bed392-a31f-45f3-8cab-fdcfb5b9413a,226,4,21035,FALSE
57bed392-a31f-45f3-8cab-fdcfb5b9413a,226,5,26196,TRUE
57bed392-a31f-45f3-8cab-fdcfb5b9413a,226,6,21317,FALSE
57bed392-a31f-45f3-8cab-fdcfb5b9413a,226,7,25722,TRUE
57bed392-a31f-45f3-8cab-fdcfb5b9413a,226,8,27936,TRUE
ab33c3c1-8c66-4823-8362-048acfeb3364,232,1,28280,TRUE
ab33c3c1-8c66-4823-8362-048acfeb3364,232,2,44382,TRUE
ab33c3c1-8c66-4823-8362-048acfeb3364,232,3,23797,FALSE
ab33c3c1-8c66-4823-8362-048acfeb3364,232,4,27338,TRUE
ab33c3c1-8c66-4823-8362-048acfeb3364,232,5,23373,FALSE
ab33c3c1-8c66-4823-8362-048acfeb3364,232,6,27457,TRUE
ab33c3c1-8c66-4823-8362-048acfeb3364,232,7,18370,FALSE
ab33c3c1-8c66-4823-8362-048acfeb3364,232,8,21394,FALSE
f68be867-bc5e-4345-b8c9-efed0fb0938e,234,1,27758,TRUE
f68be867-bc5e-4345-b8c9-efed0fb0938e,234,2,23138,FALSE
f68be867-bc5e-4345-b8c9-efed0fb0938e,234,3,33435,TRUE
f68be867-bc5e-4345-b8c9-efed0fb0938e,234,4,25903,TRUE
f68be867-bc5e-4345-b8c9-efed0fb0938e,234,5,37509,TRUE
f68be867-bc5e-4345-b8c9-efed0fb0938e,234,6,29040,TRUE
f68be867-bc5e-4345-b8c9-efed0fb0938e,234,7,27409,TRUE
f68be867-bc5e-4345-b8c9-efed0fb0938e,234,8,33104,TRUE
d44753f5-bbcb-455c-9f11-7ceb24a37bc3,235,1,21252,FALSE
d44753f5-bbcb-455c-9f11-7ceb24a37bc3,235,2,22005,FALSE
d44753f5-bbcb-455c-9f11-7ceb24a37bc3,235,3,22518,FALSE
d44753f5-bbcb-455c-9f11-7ceb24a37bc3,235,4,19547,FALSE
d44753f5-bbcb-455c-9f11-7ceb24a37bc3,235,5,24210,FALSE
d44753f5-bbcb-455c-9f11-7ceb24a37bc3,235,6,23423,FALSE
d44753f5-bbcb-455c-9f11-7ceb24a37bc3,235,7,27803,TRUE
d44753f5-bbcb-455c-9f11-7ceb24a37bc3,235,8,22467,FALSE
6a13fe52-8911-4068-917f-9ec805d7c6d9,238,1,33219,TRUE
6a13fe52-8911-4068-917f-9ec805d7c6d9,238,2,28333,TRUE
