ParticipantId,Gender,Age,Race / ethnicity,ParticipantPerpetrator present (yes/no),Face picked,Confidence,My Race,Start Date,Finish Date,"Approximately what percentage of the students in the high school you attended were ""South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan )"" / ""White""?","How many ""South Asian"" / ""White"") friends did you have in High School?","Approximately what percentage of the people in the neighborhood in which you grew up were ""South Asian"" / ""White""","In an average week's time, approximately how many ""South Asian"" / ""White"" people do you have conversations with?","In your area, how many ""South Asians"" / ""Whites"" do you know on a first name basis who also know you on a first name basis?","Of your nine closest friends, how many are ""South Asian"" / ""White""","How many times have you gone out with or dated a ""South Asian"" / ""White"") person?","Approximately what percentage of the people that you view / interact with on social media are ""South Asian"" / ""White""","Approximately what percentage of the people that you watch in TV programmes / movies are ""South Asian"" / ""White""",ContactSum,"The crime video played smoothly (played all the way through, did not buffer etc.)",The sequence of faces was displayed clearly (loaded promptly etc.),AttentionCheck,Face1.jpeg,Face2.jpeg,Face3.jpeg,Face4.jpeg,Face5.jpeg,Face6.jpeg,Face(.jpeg)picked,Correct,SaidAbsentorPresent,IDResponse,CrimeWatched,TargetPresent,PerpRace,SubjectRace,OwnRace,LineupType,CorrectSubjectRace,AttentionCheckCorrect,PlayedSmoothly,FirstComplete,IncludeFinalSample,Recruited from?
cdc14a90-d059-4db5-927f-6b8bdb3cb74f,Male,41,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,5,90,Asian Indian,16/07/2018,16/07/2018,1.00,2.00,2.00,4.00,2.00,1.00,1.00,1.00,1.00,15,4,4,mugging,3,4,2,1,6,5,6,1,present,perpetrator,mugging,yes,caucasian,south_asian,otherRace,sequential,yes,yes,yes,,yes,CIND
e820a9ab-d01c-4ff3-9c70-2878164bd3b7,Female,22,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,2,50,Asian Indian,16/07/2018,16/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2,5,5,mugging,2,6,4,5,3,1,6,0,present,foil,mugging,no,caucasian,south_asian,otherRace,sequential,yes,yes,yes,,yes,CIND
7f76b396-ba21-4d1e-8e17-d40ba83b1e05,Female,21,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",no,,80,Asian Indian,16/07/2018,16/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,8.00,9,5,5,car,1,2,6,3,5,4,absent,1,absent,reject,car,no,caucasian,south_asian,otherRace,sequential,yes,yes,yes,,yes,CIND
c996c725-c4c9-4dec-835c-c10ca2c6a7b3,Male,26,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,1,100,Asian Indian,16/07/2018,16/07/2018,6.00,9.00,4.00,5.00,4.00,7.00,7.00,5.00,4.00,51,5,4,mugging,6,4,3,2,1,5,6,1,present,perpetrator,mugging,yes,caucasian,south_asian,otherRace,independent_simultaneous,yes,yes,yes,,yes,CIND
8d89daeb-16d0-49c7-bd15-ae4b38b08185,Male,34,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",no,,70,Asian Indian,16/07/2018,16/07/2018,1,7,5,6,3,9,9,5,6,51,3,4,money,4,3,5,2,1,6,absent,1,absent,reject,money,no,caucasian,south_asian,otherRace,joint_simultaneous,yes,yes,yes,,yes,CIND
feeb50f2-9da8-49d3-a0a9-bd6bf65fe69a,Male,43,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",no,,90,Asian Indian,16/07/2018,16/07/2018,2,3,9,3,2,2,0,2,3,26,4,5,car,6,5,3,1,4,2,absent,1,absent,reject,car,no,south_asian,south_asian,ownRace,independent_simultaneous,yes,yes,yes,,yes,CIND
c4fff54a-88dd-43cc-8953-bcdfd67f4a8d,Female,22,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,1,70,Asian Indian,16/07/2018,16/07/2018,,,,,,,,,,0,,,,1,4,2,3,5,6,1,0,present,foil,car,yes,caucasian,south_asian,otherRace,sequential,yes,no,yes,,no,CIND
1c8f5f6d-f1e9-4648-96c8-4acb38b58547,Female,21,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,1,70,Asian Indian,16/07/2018,16/07/2018,0,0,0,0,1,2,0,0,0,3,4,2,money,5,3,1,4,2,6,5,0,present,foil,money,no,caucasian,south_asian,otherRace,sequential,yes,yes,yes,,yes,CIND
3247951b-3f1d-4807-9629-0b362c1d1b56,Female,29,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,1,60,Asian Indian,16/07/2018,16/07/2018,0,0,0,0,0,0,0,0,3,3,5,5,money,5,1,4,3,6,2,5,0,present,foil,money,no,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
29d9f905-fc06-4805-85d2-d6069272ec5e,Female,22,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,1,100,Asian Indian,16/07/2018,16/07/2018,0,0,0,0,0,0,0,0,0,0,3,5,car,6,5,1,3,2,4,6,1,present,perpetrator,car,yes,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
